Risk ID Mitigated,Mitigation Number,Reduction in Likelihood (Percent),Reduction in Severity (Percent),Risk Short Description,Response Measure Description,Notes,Reformatted as a Question
#001,1,80.00,25.00,The information provided by the benchmark does not match with the information the benchmark user believes is provided,"Clearly, publicly, and prominently state the user information foraging (i.e., what the user wants to learn) task associated with the evaluation. This should be provided in plain and concise language accessible to the intended users of the benchmark",,"Do you clearly, publicly, and prominently state the user information foraging task associated with your benchmark evaluation—using plain and concise language that is accessible to the intended users? By 'information foraging task,' we mean the specific goal or question that a user is trying to answer or learn about when engaging with the benchmark, reflecting their real-world information needs."
#001,106,56.67,25.00,The information provided by the benchmark does not match with the information the benchmark user believes is provided,Use cases or user personas of the person relying on the benchmark are described,,Do you describe the use cases or the user personas of those who will rely on the benchmark?
#001,186,70.00,25.00,The information provided by the benchmark does not match with the information the benchmark user believes is provided,"Provide task taxonomy showing how the input/output space corresponds to different classes of hazards, failures, or compliant/non-compliant prompts and output",,"Do you provide a task taxonomy that shows how the input/output space maps to hazards, failures, or compliant/non-compliant prompts and outputs?"
#001,198,63.33,33.33,The information provided by the benchmark does not match with the information the benchmark user believes is provided,"Clearly, publicly, and prominently state the user information foraging task associated with the evaluation. This can be provided in a manner only accessible to sophisticated (e.g., LLM engineers) users.",,"Do you clearly, publicly, and prominently state the user information foraging task associated with the evaluation, even if only for sophisticated users such as LLM engineers?"
#002,64,50.00,33.33,The task is defined too broadly to achieve any reasonable degree of coverage over the use case,"Prominently state that the benchmark does not cover the input space (i.e., that this is a low coverage benchmark)",,"Do you prominently state that the benchmark does not fully cover the input space, and clarify its limitations in coverage?"
#002,68,63.33,33.33,The task is defined too broadly to achieve any reasonable degree of coverage over the use case,"Reduce the scope of the benchmark until it is possible to achieve comprehensive coverage of the input space (i.e., ensure that high coverage is possible)",,Do you reduce the scope of the benchmark to ensure comprehensive coverage of the input space is achievable?
#002,162,46.67,54.17,The task is defined too broadly to achieve any reasonable degree of coverage over the use case,List and make available a complete definition of what is and is not covered by the benchmark.,,Do you list and make available a complete definition of what is and isn’t covered by the benchmark?
#002,187,53.33,45.83,The task is defined too broadly to achieve any reasonable degree of coverage over the use case,"Split the benchmark into smaller, focused subtasks and present scores for those tasks separately.",,"Have you split the benchmark into smaller, focused subtasks and presented scores for those subtasks separately?"
#002,188,63.33,41.67,The task is defined too broadly to achieve any reasonable degree of coverage over the use case,"Sample prompts from the input space according to their likelihood of occurring in the real world (e.g., analyze prompt distributions from an already deployed system)",,"Do you sample prompts from the input space according to their real-world likelihood of occurrence (e.g., based on analysis of deployed systems)?"
#002,189,36.67,45.83,The task is defined too broadly to achieve any reasonable degree of coverage over the use case,Visualize what parts of the input space are covered vs. missing and present the visualization to relying users.,,Do you visualize and share what parts of the input space are covered versus missing?
#002,190,43.33,66.67,The task is defined too broadly to achieve any reasonable degree of coverage over the use case,Report coverage metrics for the task space,,Do you report metrics indicating coverage of the task space?
#002,191,40.00,50.00,The task is defined too broadly to achieve any reasonable degree of coverage over the use case,Red team the evaluation to find those regions of the input space that are most needing coverage and use them to generate additional data,,Have you red-teamed the evaluation to identify undercovered input space regions and generated additional data for those areas?
#003,2,83.33,45.83,Input prompt writers produce prompts with LLMs,Contractually prohibit use of LLMs in the production of test data,,Do you contractually prohibit the use of large language models (LLMs) in the production of test data for your benchmark?
#003,3,46.67,54.17,Input prompt writers produce prompts with LLMs,Record specification of the LLM used for every prompt produced with the aid of an LLM,,Do you record the specification of the LLM used for every prompt that was produced with the aid of an LLM?
#003,4,43.33,54.17,Input prompt writers produce prompts with LLMs,Run a study on any SUT potentially privileged via prompt generation and compare to those SUTs not involved in prompt generation. Drop LLM-generated instances if unfair advantage conferred.,,"Do you run a study on any system under test (SUT) that may have been privileged during prompt generation, and compare its performance to SUTs not involved in prompt generation? If an unfair advantage is found, do you drop the LLM-generated instances?"
#003,70,33.33,66.67,Input prompt writers produce prompts with LLMs,Produce a sufficient number of human-generated prompts to enable a statistical analysis of the LLM generated prompts and run a comparative study,,"Do you generate a sufficient number of human-written prompts to enable statistical comparison with LLM-generated prompts, and do you conduct a comparative study?"
#003,89,86.67,62.50,Input prompt writers produce prompts with LLMs,"Benchmark authors produce all prompts without the aid of data vendor, LLMs, or crowd workers whose identity is not known to the benchmark authors. ",,"Are all prompts authored by the benchmark creators themselves, without using data vendors, LLMs, or crowd workers whose identities are unknown to the authors?"
#003,163,46.67,58.33,Input prompt writers produce prompts with LLMs,"Construct the task definition such that LLMs are of limited utility in the production of the prompts (i.e., most prompts could not be produced with the aid of LLMs at the time of prompt writing)",,Do you construct the task definition such that LLMs are of limited utility in producing the prompts?
#003,192,50.00,33.33,Input prompt writers produce prompts with LLMs,Audit prompts by looking at samplings of the test set to check for problems or indications of undisclosed utilization of LLMs in the production of prompts,,Do you audit test set prompts for issues such as signs of undisclosed use of LLMs in their generation?
#003,199,66.67,41.67,Input prompt writers produce prompts with LLMs,Benchmark was produced prior to broad availability of LLMs capable of producing the benchmark's prompts,,Was the benchmark produced before the widespread availability of LLMs capable of generating its prompts?
#004,5,80.00,54.17,Prompts are collected from publicly available sources that are also likely to be in the datasets of SUT developers,Avoid sourcing from publicly available information,,Do you avoid sourcing data from publicly available information when constructing your benchmark?
#004,6,33.33,41.67,Prompts are collected from publicly available sources that are also likely to be in the datasets of SUT developers,Search the web for data in the prompt set,,Do you search the web for data included in your prompt set to find undisclosed collection from publicly available sources?
#004,140,83.33,41.67,Prompts are collected from publicly available sources that are also likely to be in the datasets of SUT developers,Produce entirely new prompts with the aid of humans,,Do you produce entirely new prompts with the aid of humans?
#005,7,56.67,29.17,Data vendor licenses private data that is available to other parties,Prohibit data vendor from re-licensing data to the benchmark authors that is itself licensed by the data vendor from a third party,,Do you prohibit data vendors from re-licensing to you any data that they originally licensed from a third party?
#005,8,73.33,25.00,Data vendor licenses private data that is available to other parties,Contractually prohibit the data vendor from acquiring data rights and providing those data to the benchmark authors,,Do you include contractual prohibitions against providing data that might be available to other parties?
#005,101,96.67,37.50,Data vendor licenses private data that is available to other parties,Benchmark authors produce all root prompts (prompts may be augmented further with language models) from original human effort without sourcing data from external sources,,Do you ensure that all prompts are produced solely through original human effort without sourcing data from external sources?
#006,9,73.33,16.67,Data vendor provides same prompts to multiple organizations including benchmark authors and SUT developers,Prohibit vendor licensing data to multiple parties contractually,,Do you include contractual prohibitions against reselling licensed data to unrelated parties in your agreements with data vendors?
#006,102,73.33,16.67,Data vendor provides same prompts to multiple organizations including benchmark authors and SUT developers,Benchmark authors supervise the production of all prompts from original human effort by requiring any external party to produce novel previously unwritten and undigitized prompts,,"Do you supervise prompt production by requiring that any external party generates only novel, previously unwritten, and undigitized prompts?"
#006,141,93.33,45.83,Data vendor provides same prompts to multiple organizations including benchmark authors and SUT developers,All prompts are entirely new and produced in-house by the benchmark developers,,Are all prompts entirely new and produced in-house by the benchmark developers?
#007,10,46.67,62.50,"Singular prompts without a distributional tie lack a capacity for detecting distributional failings, harms, or impacts","State the limitations of the current benchmark with respect to disparate failings, harms, or impacts(i.e., differential performance or rates of negative/positive outcomes according to a property upon which system behavior should not vary, including but not limited to protected classes)",,"Do you disclose distributional limitations (e.g., that the benchmark does not provide information on distributional harms such as disparate impact) of the benchmark?"
#007,62,83.33,58.33,"Singular prompts without a distributional tie lack a capacity for detecting distributional failings, harms, or impacts","Produce data with distributional association capable of detecting disparate failings, harms, or impacts",,Do you produce data with distributional associations when designing your benchmark?
#008,11,53.33,41.67,"Prompt writers produce prompts with inadequate variability within the valid input space (e.g., a single prompt writer writes all the prompts)",Analyze prompt length and embedding space distribution visually,,Do you analyze the prompt length and/or the embedding space of prompts visually?
